               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065143,            0.026832,            0.032597,             0.41854,             0.66442,             0.46309,             0.26737,            0.032074,           0.0088896,             0.02017,            0.070171,           0.0033143,           0.0033143
                   1,            0.042368,            0.017878,            0.024024,             0.46574,             0.84605,             0.58752,             0.38968,             0.02513,           0.0061723,            0.016079,            0.038855,           0.0053314,           0.0053314
                   2,            0.037461,            0.015226,            0.019165,             0.66254,             0.89938,             0.76563,             0.53856,             0.02203,           0.0054919,            0.010916,            0.006219,           0.0060285,           0.0060285
                   3,            0.032011,            0.014321,            0.018757,             0.73096,             0.83837,             0.82996,             0.58891,            0.019768,           0.0051075,            0.011585,             0.00406,             0.00406,             0.00406
                   4,            0.029867,            0.013531,            0.016759,             0.81809,             0.88075,             0.89389,             0.69194,            0.016214,           0.0043837,           0.0098713,             0.00406,             0.00406,             0.00406
