               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069694,            0.027024,            0.033034,             0.37203,             0.60321,             0.40724,             0.20363,            0.032573,           0.0093067,            0.019816,            0.070171,           0.0033143,           0.0033143
                   1,            0.045118,            0.018829,            0.023225,             0.50618,             0.80188,             0.60751,             0.30232,            0.028271,           0.0068968,            0.013155,            0.038855,           0.0053314,           0.0053314
                   2,            0.039977,            0.016216,            0.019905,             0.66381,             0.81086,             0.75123,             0.47131,            0.024309,           0.0060681,            0.012099,            0.006219,           0.0060285,           0.0060285
                   3,            0.033221,            0.015445,              0.0193,             0.69478,             0.84548,             0.82494,             0.51275,            0.023429,           0.0052277,            0.010362,             0.00406,             0.00406,             0.00406
                   4,            0.031775,            0.014479,            0.017603,              0.7533,             0.85276,             0.85149,              0.6084,            0.018017,           0.0049561,           0.0098759,             0.00406,             0.00406,             0.00406
