               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021342,            0.011663,           0.0092071,             0.87007,             0.90867,              0.9261,             0.75864,            0.012772,           0.0038958,           0.0053378,            0.070171,           0.0033143,           0.0033143
                   1,            0.022459,            0.011584,           0.0089532,             0.85699,             0.90138,             0.93359,             0.70584,            0.015749,           0.0043875,           0.0051889,            0.039842,           0.0063186,           0.0063186
                   2,            0.026347,            0.011513,           0.0081687,             0.77653,              0.8783,             0.88559,             0.61995,            0.020982,           0.0049928,           0.0073683,           0.0091833,           0.0089928,           0.0089928
                   3,             0.02769,            0.012643,            0.010044,             0.80734,             0.88978,             0.87993,             0.65941,            0.016327,           0.0048004,           0.0058467,            0.008515,            0.008515,            0.008515
                   4,            0.027584,            0.013063,            0.011404,             0.81804,             0.85496,              0.8877,              0.6689,            0.017005,           0.0049132,           0.0077972,            0.008515,            0.008515,            0.008515
                   5,            0.027172,            0.013079,            0.011074,              0.7685,              0.8347,              0.8619,             0.63336,            0.016546,           0.0053215,           0.0091401,             0.00802,             0.00802,             0.00802
                   6,            0.026684,            0.013245,            0.011612,             0.79311,             0.83644,             0.85435,             0.64478,            0.015826,           0.0049924,           0.0098734,            0.007525,            0.007525,            0.007525
                   7,            0.026439,            0.013076,            0.011689,             0.81794,             0.90491,              0.8891,             0.70194,            0.015058,           0.0046055,            0.007095,             0.00703,             0.00703,             0.00703
                   8,            0.025594,            0.012917,            0.011917,             0.78783,             0.89374,             0.88437,             0.66706,            0.015792,           0.0046767,           0.0078906,            0.006535,            0.006535,            0.006535
                   9,            0.024935,            0.012229,            0.010874,             0.82176,             0.86664,             0.91762,             0.71782,            0.014746,           0.0043316,           0.0078799,             0.00604,             0.00604,             0.00604
                  10,            0.023702,            0.012491,            0.011667,             0.86812,             0.89274,             0.93257,             0.74486,            0.013884,           0.0042718,           0.0061931,            0.005545,            0.005545,            0.005545
                  11,            0.023146,            0.012108,            0.011216,             0.85124,             0.88882,              0.9198,             0.72641,            0.014546,           0.0042809,           0.0065798,             0.00505,             0.00505,             0.00505
                  12,            0.023566,            0.012154,            0.011222,             0.83979,             0.90991,             0.91438,             0.72685,            0.014055,            0.004127,            0.007777,            0.004555,            0.004555,            0.004555
                  13,            0.022879,            0.012262,           0.0096462,             0.87637,             0.89451,             0.91567,             0.73947,            0.013974,           0.0039224,           0.0076161,             0.00406,             0.00406,             0.00406
                  14,            0.022771,            0.011619,            0.010117,             0.84369,             0.90848,              0.9251,             0.75585,            0.012684,           0.0039763,           0.0056851,            0.003565,            0.003565,            0.003565
                  15,             0.02122,            0.011527,           0.0081753,             0.86725,             0.92322,             0.93545,             0.75982,            0.012705,            0.003846,           0.0058351,             0.00307,             0.00307,             0.00307
                  16,            0.020591,            0.011161,           0.0087318,             0.89591,             0.91755,              0.9375,             0.77991,            0.012131,           0.0037224,           0.0058755,            0.002575,            0.002575,            0.002575
                  17,            0.020116,            0.011191,           0.0085899,             0.89637,             0.89112,             0.93493,              0.7744,            0.012534,           0.0038456,            0.005346,             0.00208,             0.00208,             0.00208
                  18,            0.020003,            0.010942,           0.0076704,             0.88682,             0.91685,             0.94072,             0.78956,             0.01203,           0.0036909,           0.0060043,            0.001585,            0.001585,            0.001585
                  19,            0.019742,            0.010803,           0.0073079,             0.88597,             0.93108,             0.94208,             0.79522,              0.0115,           0.0036133,           0.0050021,             0.00109,             0.00109,             0.00109
