               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071788,            0.027154,            0.033192,             0.41716,             0.64656,             0.47342,             0.24609,            0.031562,           0.0091565,            0.020722,            0.070256,           0.0033048,           0.0033048
                   1,            0.045704,            0.018703,            0.023355,              0.4305,             0.77153,             0.54465,             0.31164,            0.032611,           0.0068565,            0.015806,            0.039599,            0.005981,            0.005981
                   2,            0.042187,            0.016216,            0.020723,             0.55323,             0.77515,             0.66608,             0.34814,            0.029027,           0.0065844,            0.013867,           0.0082821,           0.0079972,           0.0079972
                   3,            0.037038,              0.0158,            0.019624,             0.62855,             0.81581,             0.74989,             0.42678,            0.027145,            0.005997,            0.012739,             0.00703,             0.00703,             0.00703
                   4,            0.034137,            0.015133,            0.017625,             0.65783,             0.81603,             0.76653,             0.49873,            0.023235,           0.0062829,             0.01161,             0.00703,             0.00703,             0.00703
                   5,            0.031667,            0.014442,             0.01691,             0.75942,             0.87249,             0.86711,             0.65712,            0.018981,            0.004976,             0.01083,             0.00604,             0.00604,             0.00604
                   6,             0.02891,            0.013879,            0.016204,              0.7644,             0.88797,             0.87336,               0.664,            0.017007,           0.0046185,           0.0094336,             0.00505,             0.00505,             0.00505
                   7,            0.027401,            0.013258,            0.014015,             0.83471,             0.85395,             0.88661,             0.68719,            0.016344,           0.0045201,           0.0095778,             0.00406,             0.00406,             0.00406
                   8,            0.025949,            0.013008,            0.013398,             0.82455,             0.88744,             0.90934,             0.72867,            0.015226,           0.0043063,            0.013322,             0.00307,             0.00307,             0.00307
                   9,            0.024741,            0.012146,            0.012721,             0.81423,             0.90125,             0.90591,             0.72288,            0.014426,            0.004119,            0.009019,             0.00208,             0.00208,             0.00208
