               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069694,            0.027024,            0.033034,             0.37203,             0.60321,             0.40724,             0.20363,            0.032573,           0.0093067,            0.019816,            0.070171,           0.0033143,           0.0033143
                   1,            0.046037,            0.018833,            0.023266,             0.55823,             0.79604,             0.63868,             0.40023,            0.026147,           0.0068106,            0.013595,             0.04004,            0.006516,            0.006516
                   2,            0.042811,             0.01643,             0.02052,             0.56409,             0.78215,             0.66508,             0.37039,            0.025202,           0.0071065,            0.014212,           0.0097762,           0.0095857,           0.0095857
                   3,            0.038931,            0.016271,            0.020271,             0.55776,             0.70711,             0.66765,             0.43946,            0.023392,           0.0078318,            0.012618,            0.009406,            0.009406,            0.009406
                   4,            0.036228,            0.015755,            0.019254,             0.73693,             0.76865,              0.8025,             0.52682,            0.021544,           0.0059558,            0.011938,            0.009406,            0.009406,            0.009406
                   5,            0.034324,            0.015503,             0.01798,             0.68001,             0.80821,             0.80476,             0.54563,            0.019862,           0.0060067,            0.011125,            0.009208,            0.009208,            0.009208
                   6,            0.033597,            0.015304,            0.018295,             0.70779,             0.76644,             0.78254,             0.53357,            0.020962,           0.0061184,            0.010189,             0.00901,             0.00901,             0.00901
                   7,            0.032302,            0.015143,            0.017202,             0.71475,             0.85611,             0.84318,             0.60111,            0.017464,           0.0054029,            0.009795,            0.008812,            0.008812,            0.008812
                   8,            0.030335,            0.014684,            0.017178,             0.71194,             0.81235,              0.7987,             0.56823,            0.018049,           0.0057221,            0.013179,            0.008614,            0.008614,            0.008614
                   9,            0.030362,            0.013865,            0.015318,             0.66778,             0.80392,              0.8033,             0.56358,            0.018806,           0.0059359,           0.0094657,            0.008416,            0.008416,            0.008416
                  10,            0.028791,            0.014043,            0.014612,             0.80483,             0.83318,             0.88083,             0.66772,            0.017568,           0.0050964,           0.0070731,            0.008218,            0.008218,            0.008218
                  11,            0.027847,            0.013643,              0.0152,             0.78901,             0.86832,             0.87873,             0.63809,             0.01749,           0.0050236,           0.0080161,             0.00802,             0.00802,             0.00802
                  12,            0.028376,            0.013572,            0.014148,             0.79592,             0.84198,             0.87313,             0.64978,            0.016679,           0.0049954,           0.0084259,            0.007822,            0.007822,            0.007822
                  13,            0.027791,            0.013858,            0.013234,             0.79654,             0.82699,             0.86727,              0.6545,            0.015188,           0.0048923,           0.0082001,            0.007624,            0.007624,            0.007624
                  14,            0.027764,            0.013249,            0.013346,             0.79658,             0.88538,             0.88548,             0.68489,            0.015296,           0.0046464,           0.0075408,            0.007426,            0.007426,            0.007426
                  15,            0.026675,            0.013282,            0.012521,             0.80661,              0.8765,             0.88346,             0.67114,            0.014686,           0.0045798,           0.0082678,            0.007228,            0.007228,            0.007228
                  16,            0.025332,            0.012876,            0.013435,             0.79043,             0.89463,             0.89051,             0.68997,            0.015832,           0.0046303,           0.0072763,             0.00703,             0.00703,             0.00703
                  17,             0.02621,            0.012992,            0.011708,             0.80194,             0.87661,              0.8953,             0.69078,            0.015662,           0.0046092,           0.0072276,            0.006832,            0.006832,            0.006832
                  18,            0.026331,            0.012905,            0.012478,             0.79219,             0.89678,             0.89443,                 0.7,            0.014609,           0.0045083,           0.0069611,            0.006634,            0.006634,            0.006634
                  19,            0.025648,            0.012681,            0.011552,             0.81857,             0.88011,             0.89529,             0.69863,            0.015811,           0.0043935,           0.0063119,            0.006436,            0.006436,            0.006436
                  20,            0.025096,            0.012459,            0.011639,             0.83233,             0.90885,             0.91681,             0.72655,            0.014411,           0.0043823,           0.0055899,            0.006238,            0.006238,            0.006238
                  21,            0.024005,            0.012279,            0.011609,             0.84353,             0.89774,             0.92427,             0.72973,            0.014335,           0.0043944,           0.0058788,             0.00604,             0.00604,             0.00604
                  22,            0.023795,            0.012219,            0.011784,             0.83822,             0.90748,               0.915,             0.74276,            0.013942,           0.0041667,           0.0069593,            0.005842,            0.005842,            0.005842
                  23,            0.023386,            0.011973,            0.011088,              0.8645,             0.89784,             0.93203,             0.75244,            0.014125,           0.0041759,           0.0059122,            0.005644,            0.005644,            0.005644
                  24,             0.02353,            0.012035,            0.010499,             0.82844,              0.9075,             0.92352,              0.7513,            0.013835,           0.0041879,           0.0056663,            0.005446,            0.005446,            0.005446
                  25,            0.023588,            0.012029,            0.010892,             0.84455,             0.90919,             0.91359,             0.73484,            0.013485,           0.0041992,           0.0052285,            0.005248,            0.005248,            0.005248
                  26,            0.022406,            0.011823,           0.0098307,             0.84786,             0.91278,             0.92544,             0.76067,            0.013003,           0.0040503,           0.0057112,             0.00505,             0.00505,             0.00505
                  27,            0.022292,            0.011657,           0.0095507,             0.88484,             0.89452,             0.92902,             0.75623,            0.012731,           0.0040031,           0.0063303,            0.004852,            0.004852,            0.004852
                  28,            0.021986,            0.011475,           0.0087573,             0.84984,             0.89887,             0.91934,             0.75371,            0.012881,           0.0040475,           0.0063289,            0.004654,            0.004654,            0.004654
                  29,            0.021629,            0.011521,           0.0093423,             0.87798,             0.85632,             0.92788,             0.75986,            0.012906,           0.0039683,           0.0062959,            0.004456,            0.004456,            0.004456
